0168	0021	0,74
0322	0044	7,1
0914	0005	1,8
0454	0015	4,4
0158	0138	0,01
0851	0004	3,5
0955	0003	14
1020	0138	0,20
0716	0039	0,58
0585	0001	10
0174	0020	0,03
0217	0028	0,23
0623	0016	12,0
0531	0010	0,
0429	0001	15,4
0352	0044	1,7
0105	0004	1,6
0374	0035	17,2
0760	0035	0,7
0506	0033	260,
0761	0013	2,7
0590	0032	0,
1152	0034	96
0105	0006	0,07
0981	0044	8,5
0438	0041	0,25
0942	0035	11
0322	0009	0
0726	0138	0,39
0742	0034	21,
0283	0015	1,9
0684	0009	84
0158	0029	4,6
0283	0039	1,03
0558	0035	39
0866	0016	70
0539	0016	62,1
0053	0003	0,3
0241	0004	4,31
1143	0014	0
1004	0036	150
0640	0020	0,08
0518	0023	0,036
0438	0044	0,40
0536	0031	1,3
0536	0011	1,4
0981	0024	0,10
0469	0037	401,
0625	0010	72,4
0351	0039	0,76
1070	0017	9
0454	0023	0,79
0506	0023	0,084
0143	0014	0,
0174	0003	2,0
0227	0023	0,44
0327	0036	570,
0459	0003	0,
0539	0040	0,11
0479	0032	13,
0274	0016	27,6
0984	0009	8
1110	0036	390
0777	0017	0
0406	0024	0,
0623	0036	3,8
0227	0029	15
0339	0035	105,
0634	0037	353
0346	0041	2,5
0454	0004	18,8
0436	0044	23,5
0385	0034	11,
0313	0009	321
0531	0005	2,6
0861	0037	152,
0072	0012	10
0942	0014	0
0252	0033	159,
0031	0001	18,1
0128	0015	0,1
1244	0011	0
1247	0002	0
0353	0006	0
0254	0011	19,9
0528	0033	11,0
0088	0013	0,
0503	0017	316,417
0697	0028	0,15
0821	0015	1,1
1099	0015	2,0
0132	0021	0,
0351	0021	2,18
1169	0003	8
0124	0015	0,2
1079	0020	1,0
1176	0021	6,61
0454	0017	0,5
0851	0017	13
0683	0016	99,3
0180	0036	48,
0059	0001	18,1
0803	0001	0,
0531	0004	2,2
0708	0009	0
0363	0024	0,05
1109	0002	0
0623	0013	15,9
0849	0032	0,
0445	0028	0,33
0159	0038	0,040
0747	0033	20,4
1121	0005	0,8
0267	0006	0
0623	0044	1,5
0362	0024	0,05
1176	0034	59,6
0760	0015	0,1
0770	0039	0,01
0214	0003	0,074
0254	0017	0
0043	0033	4,7
0565	0036	520
0267	0021	0,4
0894	0003	3,50
1196	0138	0,006
1152	0017	0
0807	0003	0,119
0438	0004	0,01
1176	0039	0,38
0565	0001	2,5
0354	0012	0,3
0312	0038	0,1
1126	0039	4,3
1171	0044	7,5
0178	0004	6,9
0168	0014	0,
1228	0138	2,46
1110	0012	0
0770	0020	0,
1244	0044	21,9
0461	0010	0,
0309	0014	0,
0471	0017	228,333
0960	0033	110
0870	0032	11,
0254	0006	0
1237	0028	0,217
0230	0035	12,3
0871	0036	6,
0959	0015	2,1
1143	0013	0
0738	0034	350,
0777	0003	0,1
0318	0029	11,0
0531	0039	1,23
0264	0033	9,
0708	0037	60,
0716	0020	0,03
1126	0012	0
0377	0040	0,016
0254	0040	0,15
0708	0032	2,1
0230	0010	0,9
0506	0034	339,
1234	0036	11,5
0955	0006	0
0072	0038	0,7
0038	0003	20,5
0277	0041	25,
0915	0034	100
0848	0005	0,4
0217	0035	21,6
0038	0004	9,0
0353	0039	1,2
0373	0006	0,21
0565	0011	1,5
0716	0015	0,9
1237	0032	8,5
0114	0020	0,
0052	0016	82
0200	0001	1,0
0242	0137	4,9
0454	0038	15,
1067	0033	38
0503	0029	36,
0267	0039	0,21
1080	0035	32
0143	0038	0,04
0085	0024	0,12
0086	0011	0
0118	0005	32,6
0634	0009	0
0506	0038	0,102
0623	0037	460,
0914	0008	1
1110	0017	0
1004	0016	77,4
0506	0031	0,37
1079	0015	1
0750	0037	266,
0925	0035	3
0699	0003	2,6
1196	0011	6,5
0257	0024	0,13
0920	0029	250
0634	0036	19
0752	0015	1,7
0469	0014	0,
0129	0013	0
1250	0013	3,7
0128	0041	0
0461	0004	0,
0455	0035	8,
0310	0015	1,9
1121	0013	0
0357	0011	42,1
0043	0038	2,05
0038	0036	670
0242	0035	7,3
0786	0036	3,
0143	0041	4,4
0849	0010	0,
0245	0010	4,
0697	0015	5,5
0168	0016	42,1
0245	0001	12,
0539	0021	0,27
0277	0024	0,29
0255	0028	0,066
0474	0012	0,
0821	0004	2,14
0079	0012	0,
0429	0033	85,
0757	0004	3,6
0102	0003	3,21
0914	0023	0,09
0241	0029	1
0242	0014	0,
0277	0010	0,
0592	0037	140
0283	0020	0,
0352	0012	1,9
1195	0016	88,2
0147	0017	38,4083
0866	0137	1,5
0203	0036	30,
1176	0024	0,04
0789	0003	0,
1181	0044	31
0747	0016	72,3
0685	0023	0,025
0310	0021	1,3
0317	0012	0,
1175	0028	1,5
0322	0023	0,36
0242	0031	4,0
0438	0032	0,
1234	0032	0
0338	0006	0
0159	0010	4,2
0445	0011	1,26
0518	0016	47,9
1012	0006	0
0464	0006	0,30
0606	0013	1,2
0649	0010	4,1
1112	0011	2,2
0690	0015	0,7
0363	0023	0,006
1244	0001	30
1109	0033	5
1143	0024	0,09
1181	0036	136
1112	0039	1,6
0438	0033	25,
0719	0038	0,73
1228	0010	1,3
0483	0009	0
1016	0033	154
0327	0015	1,2
1188	0138	0,07
0623	0015	1,6
0501	0011	0,1
0169	0041	42
0876	0033	59,
0625	0015	0,7
0539	0009	50
1215	0031	8,8
0786	0032	49,
0252	0005	0,1
1122	0010	0
1110	0021	0
0154	0005	0,49
0284	0015	1,9
0871	0033	110,
1110	0023	0,01
0506	0040	0,04
0118	0013	0,
0062	0002	44,2
0747	0021	0,60
1079	0002	2,6
0558	0006	0,1
0248	0039	0,004
0373	0002	0,6
1126	0010	0
0950	0038	0,10
0474	0013	0,
0683	0021	0,
1170	0023	0,03
0200	0137	0,015
0274	0037	108,
0346	0001	11,7
0327	0012	0
1070	0014	0
0803	0038	0,
0525	0008	0
0186	0002	0,2
0856	0015	1,6
0883	0041	6,9
0367	0009	70
1022	0138	0,025
0214	0008	0,
0870	0020	0,
1169	0040	0,1
0506	0002	8,
0565	0002	21,0
0861	0010	14,3
0180	0037	156,
0227	0003	1,83
0683	0004	0,
0383	0031	0,85
0203	0004	0,006
0965	0028	0,016
1004	0023	0,11
0351	0020	0,93
0719	0006	0,
0775	0003	0,1
0106	0029	31,
0227	0006	0,16
0388	0008	3,8
0789	0004	0,
